                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.312,                 3.5111,                 1.7404,                0.00189,                0.39024,                0.00285,                0.00082,                 4.0399,                    inf,                 1623.9,              0.0006615,              0.0006615,              0.0006615
                      2,                 1.5781,                 2.2859,                 1.9953,                  4e-05,                0.02439,                  2e-05,                      0,                 4.5138,                    inf,                 16.658,              0.0013094,              0.0013094,              0.0013094
                      3,                 1.5461,                 2.1931,                 1.9182,                0.21294,                0.39024,                0.14716,                0.03652,                 2.3983,                 9.4002,                 3.5203,              0.0019384,              0.0019384,              0.0019384
                      4,                 1.4587,                  2.011,                 1.8656,                0.04613,                 0.4878,                0.03598,                0.01407,                 2.0899,                 38.063,                 3.1569,              0.0019151,              0.0019151,              0.0019151
                      5,                 1.2685,                 1.6335,                 1.6862,                0.77252,                0.66273,                0.71617,                0.57943,                0.96401,                 2.1423,                 1.4726,              0.0018869,              0.0018869,              0.0018869
                      6,                 1.2512,                 1.5526,                 1.6531,                0.57332,                0.60976,                0.63851,                0.45765,                 1.1098,                 1.8935,                 1.5935,              0.0018586,              0.0018586,              0.0018586
                      7,                 1.0652,                 1.3201,                 1.4887,                0.93141,                0.80488,                0.82486,                0.64429,                0.86134,                 1.1093,                  1.334,              0.0018303,              0.0018303,              0.0018303
                      8,                 1.0617,                 1.2136,                  1.465,                0.74747,                0.80488,                0.80365,                0.64573,                0.87047,                 1.6806,                 1.3857,               0.001802,               0.001802,               0.001802
                      9,                0.99894,                 1.0837,                 1.4329,                0.79232,                0.65854,                0.76386,                0.57751,                0.89895,                 1.3014,                 1.2987,              0.0017737,              0.0017737,              0.0017737
                     10,                 1.0163,                 1.1257,                 1.4529,                0.66333,                0.85366,                  0.789,                0.65767,                0.74574,                 1.0181,                 1.2888,              0.0017454,              0.0017454,              0.0017454
                     11,                0.93854,                 1.0033,                 1.3827,                0.91695,                0.87805,                0.88825,                 0.7039,                0.81055,                0.83555,                 1.2714,              0.0017171,              0.0017171,              0.0017171
                     12,                0.92673,                0.94108,                 1.3728,                0.89711,                0.85366,                0.89859,                0.79672,                 0.5879,                0.85786,                 1.0557,              0.0016889,              0.0016889,              0.0016889
